epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3944.29,2.62798,7.47024,2.90322,0.28033,0.27174,0.21113,0.09557,3.18149,11.6705,3.51091,0.000332036,0.000332036,0.000332036
2,7869.67,2.64132,5.38467,2.79799,0.3337,0.38762,0.27577,0.1246,3.21543,8.28077,3.54702,0.000643412,0.000643412,0.000643412
3,11862.6,2.66986,4.41827,2.7796,0.42334,0.44026,0.38925,0.18991,3.12083,5.01799,3.42714,0.000932789,0.000932789,0.000932789
4,15922,2.64431,3.93842,2.75892,0.532,0.55806,0.51484,0.2603,3.0598,3.95523,3.31974,0.000901,0.000901,0.000901
5,19924.8,2.58483,3.60719,2.71699,0.51465,0.50102,0.50247,0.25128,3.20578,3.76385,3.30036,0.000868,0.000868,0.000868
6,23907.3,2.53655,3.35574,2.67072,0.60586,0.63878,0.63508,0.32189,2.94675,3.324,3.12281,0.000835,0.000835,0.000835
7,27909.8,2.48687,3.19051,2.64462,0.66787,0.63998,0.65883,0.37997,2.68477,2.84012,2.91159,0.000802,0.000802,0.000802
8,31907.4,2.43182,3.03782,2.60318,0.67087,0.6089,0.66774,0.39197,2.80171,2.92312,3.01035,0.000769,0.000769,0.000769
9,35899.8,2.39033,2.93655,2.58706,0.65469,0.64766,0.68418,0.40752,2.62708,2.76728,2.8586,0.000736,0.000736,0.000736
10,39893.6,2.33522,2.80786,2.54457,0.70406,0.66862,0.74223,0.42542,2.77632,2.55062,2.90504,0.000703,0.000703,0.000703
11,43881,2.27691,2.70501,2.49953,0.73008,0.70752,0.77794,0.47439,2.53563,2.36739,2.73084,0.00067,0.00067,0.00067
12,47851.8,2.27485,2.6245,2.50664,0.71907,0.70787,0.76009,0.47292,2.58037,2.35481,2.82655,0.000637,0.000637,0.000637
13,51813.7,2.24841,2.51803,2.48567,0.7533,0.68401,0.77425,0.47883,2.49194,2.22561,2.7371,0.000604,0.000604,0.000604
14,55779,2.23326,2.47968,2.47131,0.77733,0.70486,0.78428,0.49378,2.53528,2.14483,2.70751,0.000571,0.000571,0.000571
15,59764.8,2.17283,2.39622,2.44745,0.80444,0.69835,0.80084,0.50118,2.54045,2.00659,2.75626,0.000538,0.000538,0.000538
16,63724.7,2.17292,2.36392,2.43981,0.80343,0.76373,0.83379,0.53441,2.41808,1.88176,2.65498,0.000505,0.000505,0.000505
17,67674.8,2.13595,2.31045,2.41733,0.80667,0.74818,0.83159,0.54154,2.38798,1.86284,2.63334,0.000472,0.000472,0.000472
18,71640.1,2.124,2.24548,2.40614,0.78955,0.77551,0.83377,0.53255,2.39076,1.8354,2.59579,0.000439,0.000439,0.000439
19,75601.6,2.10567,2.2121,2.39843,0.79571,0.75627,0.84029,0.56139,2.29118,1.83458,2.54375,0.000406,0.000406,0.000406
20,79619.4,2.07359,2.15203,2.38523,0.81823,0.77892,0.86212,0.56804,2.33412,1.73077,2.53858,0.000373,0.000373,0.000373
21,83595,2.04645,1.78111,2.40197,0.78484,0.79017,0.85754,0.57817,2.33192,1.70129,2.56025,0.00034,0.00034,0.00034
22,87584.3,1.98095,1.62096,2.35649,0.82144,0.79948,0.88123,0.60265,2.23355,1.55589,2.47611,0.000307,0.000307,0.000307
23,91542.2,1.95869,1.58568,2.34201,0.7974,0.79698,0.87255,0.58575,2.27379,1.60215,2.49347,0.000274,0.000274,0.000274
24,95543,1.92533,1.51368,2.33227,0.81856,0.82057,0.88748,0.60804,2.22592,1.45752,2.4991,0.000241,0.000241,0.000241
25,99556,1.88114,1.45244,2.30643,0.84811,0.80572,0.88196,0.61102,2.19081,1.48398,2.46746,0.000208,0.000208,0.000208
26,103548,1.8524,1.42892,2.28683,0.86355,0.81786,0.9016,0.62903,2.19176,1.39738,2.43081,0.000175,0.000175,0.000175
27,107537,1.81817,1.40703,2.2804,0.8637,0.84069,0.91344,0.64522,2.12744,1.34915,2.38955,0.000142,0.000142,0.000142
28,111515,1.78435,1.36051,2.24061,0.85351,0.84151,0.90483,0.63941,2.11562,1.39281,2.39125,0.000109,0.000109,0.000109
29,115486,1.76775,1.31222,2.23369,0.86002,0.83957,0.91514,0.64852,2.10044,1.30636,2.36904,7.6e-05,7.6e-05,7.6e-05
30,119444,1.71391,1.25054,2.21745,0.85721,0.82551,0.90941,0.64951,2.08876,1.31283,2.36698,4.3e-05,4.3e-05,4.3e-05
